Country Code,Number of Bed-places,Percentage of individuals online
AL,NA,NA
AT,601945 ,65 
BA,NA,NA
BE,129232 ,71 
BG,281869 ,45 
CH,271710 ,NA
CY,83251 ,62 
CZ,317756 ,NA
DE,1784654 ,68 
DK,90503 ,82 
EE,32404 ,62 
EL,797995 ,47 
ES,1893978 ,72 
FI,135177 ,76 
FR,1312372 ,61 
HR,167380 ,52 
HU,181407 ,58 
IE,150083 ,69 
IS,29403 ,NA
IT,2248225 ,29 
LI,1660 ,NA
LT,28665 ,45 
LU,15689 ,78 
LV,26164 ,48 
ME,35518 ,NA
MK,19567 ,57 
MT,41684 ,64 
NL,261164 ,78 
NO,187943 ,80 
PL,325776 ,32 
PT,337175 ,51 
RO,213635 ,44 
RS,NA,NA
SE,240883 ,80 
SI,45716 ,54 
SK,95774 ,58 
TR,897456 ,53 
UK,1950485 ,81 
XK,NA,NA
